Datum;Standort;Disponent;Fahrzeuge;Stopps;Unverplante Stopps;Kosten Fuhrpark;Stoppschnitt;Stoppkosten
01.01.2026;Delmenhorst;;;;;;;
01.01.2026;Güstrow;;;;;;;
01.01.2026;Döbeln;;;;;;;
01.01.2026;Melle;;;;;;;
01.01.2026;Langenfeld;;;;;;;
01.01.2026;Kassel;;;;;;;
01.01.2026;Berlin;;;;;;;
01.01.2026;Aschaffenburg;;;;;;;
01.01.2026;Renningen;;;;;;;
02.01.2026;Delmenhorst;;;;;;;
02.01.2026;Güstrow;;;;;;;
02.01.2026;Döbeln;;;;;;;
02.01.2026;Melle;;;;;;;
02.01.2026;Langenfeld;;;;;;;
02.01.2026;Kassel;;;;;;;
02.01.2026;Berlin;;;;;;;
02.01.2026;Aschaffenburg;;;;;;;
02.01.2026;Renningen;;;;;;;
05.01.2026;Delmenhorst;;;;;;;
05.01.2026;Güstrow;;;;;;;
05.01.2026;Döbeln;;;;;;;
05.01.2026;Melle;;;;;;;
05.01.2026;Langenfeld;;;;;;;
05.01.2026;Kassel;;;;;;;
05.01.2026;Berlin;;;;;;;
05.01.2026;Aschaffenburg;;;;;;;
05.01.2026;Renningen;;;;;;;
06.01.2026;Delmenhorst;;;;;;;
06.01.2026;Güstrow;;;;;;;
06.01.2026;Döbeln;;;;;;;
06.01.2026;Melle;;;;;;;
06.01.2026;Langenfeld;;;;;;;
06.01.2026;Kassel;;;;;;;
06.01.2026;Berlin;;;;;;;
06.01.2026;Aschaffenburg;;;;;;;
06.01.2026;Renningen;;;;;;;
07.01.2026;Delmenhorst;;;;;;;
07.01.2026;Güstrow;;;;;;;
07.01.2026;Döbeln;;;;;;;
07.01.2026;Melle;;;;;;;
07.01.2026;Langenfeld;;;;;;;
07.01.2026;Kassel;;;;;;;
07.01.2026;Berlin;;;;;;;
07.01.2026;Aschaffenburg;;;;;;;
07.01.2026;Renningen;;;;;;;
08.01.2026;Delmenhorst;;;;;;;
08.01.2026;Güstrow;;;;;;;
08.01.2026;Döbeln;;;;;;;
08.01.2026;Melle;;;;;;;
08.01.2026;Langenfeld;;;;;;;
